99.00705	18.57399	14030	Lamphun
99.52900	16.47300	58787	Kamphaeng Phet
100.34900	16.43900	35760	Phichit
101.15900	16.41900	50656	Phetchabun
100.12900	14.47100	53399	Supham Buri
100.45000	14.58330	13738	Ang Thong
100.12600	15.17900	15469	Chainat
101.21600	14.20000	21309	Nakhon Nayok
100.40100	14.88700	20046	Sing Buri
100.06400	13.81800	117927	Nakhon Pathom
99.80000	11.80300	33521	Prachuap Khiri Khan
100.27401	13.53600	63498	Samut Sakhon
100.00100	13.41300	35065	Samut Songkhram
104.15100	15.78800	21643	Yasothon
101.07600	13.67900	49741	Chachoengsao
102.50900	12.23700	21590	Trat
103.50900	16.42800	55102	Kalasin
103.29801	16.18400	51584	Maha Sarakham
103.65500	16.05100	39328	Roi Et
101.25000	6.86400	150000	Pattani
31.24700	-25.96100	5750	Piggs Peak
31.95200	-26.45500	6152	Siteki
31.38800	-26.49500	110537	Manzini
31.31014	-26.96082	2748	Hlatikulu
-86.58300	13.47600	20316	Somoto
-86.47300	13.63000	33928	Ocotal
-8.65100	40.64100	54162	Aveiro
-8.80500	39.73900	45112	Leiria
-8.84414	41.69624	15555	Viana Do Castelo
-6.33800	38.91200	52423	Mérida
-7.86300	38.01400	35854	Beja
-7.90600	38.56000	55620	Évora
-7.42300	39.29000	15581	Portalegre
-8.68200	39.23100	29385	Santarém
-6.75500	41.80800	34375	Bragança
-7.48800	39.81100	33479	Castelo Branco
-7.26200	40.54100	32111	Guarda
-7.91000	40.65700	26364	Viseu
-7.73700	41.29400	17001	Vila Real
-16.41600	14.34400	24243	Fatick
37.33330	31.33330	10000	An Nabk
6.55000	53.00000	62237	Assen
5.92300	51.98800	141674	Arnhem
5.67700	50.85300	122378	Maastricht
6.09700	52.52400	111805	Zwolle
3.61000	51.50200	46485	Middelburg
5.31666	51.68334	134520	's-Hertogenbosch
8.76600	58.46476	30916	Arendal
6.44100	60.63000	5571	Vossavangen
6.85000	61.18330	1965	Leikanger
11.34724	59.91349	113659	Bærum
11.06900	60.82000	29479	Hamar
10.42100	59.26400	38914	Tønsberg
83.58330	28.26670	23296	Baglung
82.21670	29.25000	9073	Jumla
83.38330	27.53330	63367	Bhairawa
80.60000	29.30000	19014	Dandeldhura
80.59300	28.69500	92294	Dhangarhi
86.08700	27.32600	15000	Ramechhap
85.13000	27.55100	15000	Bhimphedi
86.73330	26.53330	33061	Rajbiraj
87.92601	26.90800	17491	Ilam
143.71800	-5.49000	3958	Wabag
141.30400	-2.69000	11204	Vanimo
144.96001	-6.02300	9383	Kundiawa
145.83800	-7.92700	5646	Kerema
155.56599	-6.22800	40266	Arawa
147.28000	-2.03200	5806	Lorengau
150.14301	-5.55000	18847	Kimbe
29.16083	47.26306	23254	Dubăsari
28.70200	-30.11727	25573	Qacha's Nek
43.86670	4.18330	1639	Hudur
42.22700	3.32700	12652	Garbahaarey
42.58330	1.08330	1490	Bu'aale
46.38217	5.53198	447	Dhuusa Mareeb
81.23300	8.56900	108420	Trincomalee
79.82600	8.03300	45661	Puttalan
80.38600	6.69300	47832	Ratnapura
7.48600	5.53200	264662	Umuahia
7.91615	5.03601	554906	Uyo
7.02600	5.49300	215038	Owerri
125.76201	38.50700	154942	Sariwon
125.46400	39.48800	19463	Sin-Ni
106.20000	50.25000	24235	Suchboatar
106.94700	47.71100	17738	Dzuunmod
15.95100	-21.43600	11547	Omaruru
15.85300	-21.93900	6898	Karibib
17.34200	-19.64000	4562	Otavi
18.96300	-22.45500	16321	Gobabis
39.72580	-5.06346	26450	Wete
38.91670	-6.76670	23651	Kibaha
39.26000	-5.87900	2572	Mkokotoni
7.15000	46.80000	32827	Fribourg
7.73700	47.48300	12832	Liestal
7.53700	47.21200	14853	Solothurn
8.24300	46.89900	9410	Sarnen
13.82800	58.70500	14891	Mariestad
12.33000	58.36300	21835	Vannersborg
9.41670	47.33330	5649	Appenzell
-8.18333	53.63333	4860	Ros Comain
-16.16500	12.26900	10490	Cacheu
-15.22700	12.49300	6792	Farim
-15.19500	11.77300	1311	Fulacunda
-14.23400	12.28000	14430	Gabú
-15.25425	11.27304	9898	Catió
-8.23160	4.67410	2733	Barclayville
-9.75000	8.41670	26594	Voinjama
-10.60000	6.43330	4089	Bensonville
-10.34900	6.52600	33945	Kakata
-8.68500	7.37100	11415	Sanniquellie
-9.57800	5.46500	2578	Rivercess
15.79900	40.64200	69060	Potenza
14.65600	41.56300	50762	Campobasso
36.23330	32.28330	57118	Al Mafraq
35.60001	30.83333	25429	At Tafilah
35.73600	30.19200	50350	Ma'an
7.31500	45.73700	34062	Aosta
6.16670	49.88330	6242	Diekirch
6.42560	49.67975	3958	Grevenmacher
100.19000	6.43300	63869	Kangar
102.04200	4.18400	15448	Kuala Lipis
101.55000	3.06670	481654	Shah Alam
36.95100	-0.41700	51084	Nyeri
27.75300	-29.15300	5115	Teyateyaneng
27.48000	-30.15900	24992	Mohales Hoek
27.71600	-30.41100	24130	Moyeni
28.05600	-28.87800	47675	Hlotse
28.25000	-28.75000	16330	Butha-Buthe
29.07800	-29.29100	8809	Mokhotlong
-89.84500	13.91900	34102	Ahuachapán
-88.93330	13.71670	48411	Cojutepeque
-89.29000	13.67400	124694	Nueva San Salvador
-88.86800	13.50800	39613	Zacatecoluca
-87.83900	13.33200	26807	La Unión
-88.10000	13.70000	16152	San Francisco Gotera
-88.78500	13.64100	37326	San Vicente
-88.43200	13.34600	51910	Usulután
-88.90674	14.00953	29271	Chalatenango
-78.17900	18.44300	6289	Lucea
-77.50000	18.03300	47115	Mandeville
-77.85200	18.03100	4229	Black River
-77.65605	18.47958	7779	Falmouth
-77.94800	18.16400	30000	Savanna-la-Mar
-76.38000	18.15900	14400	Port Antonio
-77.19952	18.43264	13671	Saint Ann's Bay
-76.90000	18.37700	7906	Port Maria
-76.80000	18.03330	96494	Half Way Tree
-76.32900	17.89100	11536	Port Morant
-71.34499	19.50500	16380	Sabaneta
-71.07500	19.55200	48297	Mao
-70.15200	19.05900	41641	Cotuí
10.56670	1.45000	8462	Evinayong
8.55000	3.45000	8655	Luba
15.90583	43.72722	37112	Šibenik
31.00695	30.55448	182900	Shibin el Kom
31.18334	30.46666	167029	Benha
31.51666	30.58333	285097	Zagazig
30.93600	31.10900	143970	Kafr el Sheikh
42.37200	11.10400	12043	Dikhil
42.90000	11.78330	22193	Tadjoura
23.54139	58.94306	11805	Haapsalu
48.00000	29.33334	164212	Hawalli
28.52800	-0.75700	1192	Buluko
33.60000	-11.90000	19308	Mzimba
35.30166	-15.17619	1418	Machinga
34.33333	-14.36667	15608	Dedza
32.90000	-13.80000	18305	Mchinji
34.63333	-14.81667	10445	Ntcheu
35.18333	-15.70000	1580	Chiradzulu
35.26667	-16.91667	21774	Nsanje
34.51667	-15.61667	11379	Mwanza
35.50000	-16.03333	16483	Mulanje
-90.31400	15.10300	40000	Salamá
-91.67701	14.53710	36656	Retalhuleu
-91.80000	14.96600	25088	San Marcos
-90.82000	14.66200	82370	Chimaltenango
-90.73330	14.56670	39368	Antigua Guatemala
-91.18300	14.77300	45373	Sololá
-91.35800	14.91400	69734	Totonicapán
-90.01621	14.92229	147197	El Progreso
-90.29800	14.27900	16484	Cuilapa
-89.54400	14.79700	41521	Chiquimula
-89.98900	14.63300	45834	Jalapa
-89.52900	14.97200	36088	Zacapa
-70.69025	19.79022	119897	Puerto Plata
-71.70500	19.54800	16398	Dajabón
-70.52300	19.39700	61834	Moca
-70.41670	19.38300	45299	Salcedo
-71.85099	18.49300	6567	Jimaní
-71.70700	18.87600	43894	Comendador
-71.74100	18.03800	11072	Pedernales
-70.72900	18.45400	59139	Azua
-70.40900	18.94200	73269	Bonao
-70.33100	18.28000	66709	Baní
-69.25700	18.76400	35999	Hato Mayor
-69.78400	18.80700	15532	Monte Plata
-69.84700	19.37600	33862	Nagua
-69.33200	19.21200	11432	Samaná
-70.10900	18.41600	154040	San Cristóbal
